id,raw_id,dedup_key,review_text,rating,review_date,product_name,imported_at,analyzed,sentiment,confidence
31,36,8f6e98268839cae7182b27be08cc9b79f89bc025921e85e0ef4ddd4b78b95c96,Battery life is great and very comfortable to wear.,5,2026-07-15,스마트워치 S2,2026-08-16T13:57:24.587210+00:00,1,긍정,0.99
25,29,e8ff44500ee71105d6b6d353c690ab6ca82e22ac4ec97cf349adab134906d548,그냥 무난한 제품입니다.,3,2026-07-14,블루투스 스피커 M3,2026-08-16T13:57:24.587210+00:00,1,중립,0.5
11,13,e129a4074dd3446a045991437b5e921d25d7c35f2025b1b010e1115a1f4c4404,그냥 무난한 제품입니다.,3,2026-07-13,무선이어폰 X1,2026-08-16T13:57:24.587210+00:00,1,중립,0.5
19,22,5afdd1e2ab0b5e21235d05819ebc1271cc8b6d3e8fb1f5e1876dee724614eef5,나쁘지 않지만 특별하지도 않아요.,3,2026-07-12,스마트워치 S2,2026-08-16T13:57:24.587210+00:00,1,중립,0.5
13,15,94f752a3094809d31e663388d5b39f355e3c10f90ec7d9291388fbf4d777f648,AS 받기가 너무 힘들어요.,2,2026-07-11,스마트워치 S2,2026-08-16T13:57:24.587210+00:00,1,부정,0.92
23,27,a2615ecdef2c7c39ac38659849c6a31f9ca07288e653fe16a88a9fe092c3c6af,"가성비 최고입니다, 추천해요.",5,2026-07-09,무선이어폰 X1,2026-08-16T13:57:24.587210+00:00,1,긍정,0.92
3,3,5faf34037b8a10289e2d7746d63fb9dc0c876d7967c39243551edc689007485d,아직 사용해본 지 얼마 안 돼서 판단이 어려워요.,3,2026-07-08,스마트워치 S2,2026-08-16T13:57:24.587210+00:00,1,중립,0.5
10,12,072554cb3457e753302e70a2ff92c9e4d5d62168a25148c325e47e80438aedb2,착용감이 편안해서 하루종일 껴도 안 아파요.,5,2026-07-07,무선이어폰 X1,2026-08-16T13:57:24.587210+00:00,1,긍정,0.92
5,5,df725a2853dea62506d0de948361a96538b3284e7d4d570bc68e6b05b5b81f90,아직 사용해본 지 얼마 안 돼서 판단이 어려워요.,3,2026-07-06,무선이어폰 X1,2026-08-16T13:57:24.587210+00:00,1,중립,0.5
15,17,bff21b980f637bb0547139a0f4abd6cb55a4aa8f22e705310d1f8626e41dcf87,배터리가 너무 빨리 닳아요.,1,2026-07-05,블루투스 스피커 M3,2026-08-16T13:57:24.587210+00:00,1,중립,0.5
24,28,e271fff87922c84dda19d51653ce1632c9df911af584833376a61234df57e64a,설명서가 부실해서 설정하기 어려웠어요.,2,2026-07-04,스마트워치 S2,2026-08-16T13:57:24.587210+00:00,1,부정,0.93
30,35,628cd56dee74d3cb6971a8b986fba4775431e3f8a8f006609373977ed9017a6e,"This product is excellent, I love the sound quality.",5,2026-07-02,무선이어폰 X1,2026-08-16T13:57:24.587210+00:00,1,긍정,0.91
16,18,80040f31493e0c5ed74afc701dec021f6f71a21a13b62a938f85d030d6e2aa3b,"가성비 최고입니다, 추천해요.",5,2026-06-25,스마트워치 S2,2026-08-16T13:57:24.587210+00:00,1,긍정,0.92
29,33,1c247ee669e0668a162ca9d6d47c37659b6059924e4e5e7a80982de6d34c343f,생각보다 음질이 별로예요.,1,2026-06-24,무선이어폰 X1,2026-08-16T13:57:24.587210+00:00,1,부정,0.91
32,37,be296d5eb30cb4476509f7ca9cd31866d83fdbb1e671a73427e5157d0a5b404c,"Terrible experience, it broke after two days.",1,2026-06-20,블루투스 스피커 M3,2026-08-16T13:57:24.587210+00:00,1,부정,0.99
26,30,b07bdfa519212c4f0eb5fb924e288a4d1c1b81f4b9153f20b26810b5bb752db2,박스가 파손된 채로 도착했어요.,1,2026-06-19,스마트워치 S2,2026-08-16T13:57:24.587210+00:00,1,부정,0.94
7,8,afd4f785f7b2aae620ba10ea48b7720e5631e945c3e24b84af4e3c135aa076e5,가격만큼의 성능인 것 같아요.,3,2026-06-18,무선이어폰 X1,2026-08-16T13:57:24.587210+00:00,1,중립,0.5
20,23,3cea8e042d61da0cef56386977ceb573f654759669ffd53207364c5608bc3599,가격에 비해 품질이 아쉬워요.,1,2026-06-17,무선이어폰 X1,2026-08-16T13:57:24.587210+00:00,1,중립,0.5
4,4,f3853b1475ef06b743e345878c4800bb6ffc2d6061fce4c60da6c9caf0fa1b7c,"음질이 정말 좋아요, 만족합니다.",4,2026-06-14,무선이어폰 X1,2026-08-16T13:57:24.587210+00:00,1,긍정,0.91
14,16,1fd24f89755af09985a9147d57a4a6d4a9b685f6e487118fb0f93b14fe4edc47,연결이 끊기지 않고 안정적이에요.,5,2026-06-14,블루투스 스피커 M3,2026-08-16T13:57:24.587210+00:00,1,중립,0.48
18,21,f451a9c5f0e2877e24fb45e1cbb5168d0f16f4aa907faa44e8c867d96405ab2b,AS 받기가 너무 힘들어요.,1,2026-06-14,블루투스 스피커 M3,2026-08-16T13:57:24.587210+00:00,1,부정,0.92
22,25,6ab09b12213e39db5b7382bb83cfcfe7b4c7fbe3d6d1e7ba9db1424c3b3c6fe2,박스가 파손된 채로 도착했어요.,1,2026-06-09,블루투스 스피커 M3,2026-08-16T13:57:24.587210+00:00,1,부정,0.94
8,9,8537ff3b716d29666b303f10165d5452e3a2a6b64a1d94b86529ecb9d3812e2b,연결이 끊기지 않고 안정적이에요.,4,2026-06-06,스마트워치 S2,2026-08-16T13:57:24.587210+00:00,1,중립,0.48
